job_id,skill_id 
JOB-1,5
JOB-1,19
JOB-1,25
JOB-1,2
JOB-2,11
JOB-2,12
JOB-2,23
JOB-2,22
JOB-2,17
JOB-2,21
JOB-3,26
JOB-3,1
JOB-3,4
JOB-3,20
JOB-4,25
JOB-4,13
JOB-4,18
JOB-4,23
JOB-5,9
JOB-5,8
JOB-5,18
JOB-6,17
JOB-6,14
JOB-6,25
JOB-7,22
JOB-7,17
JOB-7,1
JOB-7,7
JOB-7,9
JOB-8,2
JOB-8,17
JOB-8,20
JOB-8,19
JOB-9,12
JOB-9,20
JOB-9,26
JOB-10,8
JOB-10,7
JOB-10,18
JOB-11,21
JOB-11,19
JOB-11,15
JOB-12,19
JOB-12,8
JOB-12,10
JOB-12,13
JOB-12,3
JOB-13,22
JOB-13,13
JOB-13,25
JOB-13,11
JOB-13,16
JOB-14,9
JOB-14,7
JOB-14,25
JOB-15,4
JOB-15,20
JOB-15,12
JOB-15,3
JOB-15,18
JOB-15,5
JOB-16,2
JOB-16,12
JOB-16,15
JOB-16,1
JOB-16,13
JOB-17,12
JOB-17,3
JOB-17,23
JOB-18,8
JOB-18,7
JOB-18,12
JOB-18,23
JOB-19,17
JOB-19,9
JOB-19,12
JOB-19,22
JOB-20,1
JOB-20,7
JOB-20,15
JOB-20,17
JOB-21,10
JOB-21,20
JOB-21,24
JOB-22,1
JOB-22,4
JOB-22,14
JOB-22,21
JOB-23,26
JOB-23,18
JOB-23,10
JOB-23,17
JOB-23,24
JOB-24,11
JOB-24,10
JOB-24,13
JOB-24,15
JOB-24,1
JOB-24,5
JOB-25,12
JOB-25,5
JOB-25,17
JOB-25,15
JOB-26,25
JOB-26,22
JOB-26,12
JOB-26,5
JOB-26,14
JOB-27,3
JOB-27,8
JOB-27,7
JOB-28,21
JOB-28,18
JOB-28,12
JOB-28,24
JOB-28,17
JOB-28,20
JOB-29,5
JOB-29,17
JOB-29,19
JOB-30,1
JOB-30,16
JOB-30,3
JOB-30,12
JOB-30,14
JOB-30,17
JOB-31,13
JOB-31,19
JOB-31,24
JOB-31,5
JOB-32,3
JOB-32,7
JOB-32,12
JOB-32,11
JOB-33,20
JOB-33,11
JOB-33,14
JOB-33,13
JOB-33,15
JOB-34,22
JOB-34,15
JOB-34,3
JOB-34,12
JOB-34,23
JOB-35,22
JOB-35,17
JOB-35,23
JOB-35,13
JOB-35,26
JOB-35,4
JOB-36,26
JOB-36,11
JOB-36,3
JOB-36,5
JOB-37,12
JOB-37,22
JOB-37,7
JOB-37,19
JOB-37,5
JOB-37,2
JOB-38,17
JOB-38,6
JOB-38,4
JOB-38,1
JOB-38,15
JOB-39,1
JOB-39,17
JOB-39,11
JOB-39,19
JOB-39,2
JOB-39,6
JOB-40,16
JOB-40,4
JOB-40,15
JOB-41,9
JOB-41,19
JOB-41,7
JOB-41,5
JOB-42,14
JOB-42,4
JOB-42,17
JOB-43,24
JOB-43,13
JOB-43,2
JOB-43,19
JOB-44,11
JOB-44,16
JOB-44,22
JOB-45,21
JOB-45,24
JOB-45,7
JOB-45,23
JOB-45,8
JOB-46,3
JOB-46,16
JOB-46,1
JOB-46,24
JOB-46,6
JOB-46,26
JOB-47,3
JOB-47,2
JOB-47,15
JOB-47,12
JOB-47,4
JOB-48,2
JOB-48,17
JOB-48,25
JOB-48,18
JOB-49,5
JOB-49,14
JOB-49,10
JOB-49,15
JOB-49,26
JOB-49,3
JOB-50,16
JOB-50,7
JOB-50,10
JOB-50,6
JOB-50,23
JOB-51,9
JOB-51,14
JOB-51,11
JOB-52,3
JOB-52,19
JOB-52,25
JOB-53,10
JOB-53,24
JOB-53,1
JOB-53,13
JOB-54,8
JOB-54,25
JOB-54,9
JOB-54,5
JOB-54,14
JOB-55,5
JOB-55,15
JOB-55,8
JOB-55,6
JOB-56,23
JOB-56,18
JOB-56,17
JOB-56,5
JOB-56,8
JOB-56,22
JOB-57,3
JOB-57,23
JOB-57,25
JOB-57,19
JOB-57,21
JOB-58,14
JOB-58,11
JOB-58,9
JOB-59,7
JOB-59,23
JOB-59,22
JOB-60,7
JOB-60,24
JOB-60,22
JOB-61,11
JOB-61,22
JOB-61,12
JOB-62,26
JOB-62,21
JOB-62,19
JOB-62,6
JOB-62,23
JOB-62,22
JOB-63,12
JOB-63,14
JOB-63,11
JOB-63,3
JOB-64,11
JOB-64,21
JOB-64,3
JOB-64,8
JOB-64,19
JOB-65,7
JOB-65,18
JOB-65,2
JOB-66,5
JOB-66,21
JOB-66,9
JOB-66,19
JOB-66,3
JOB-66,12
JOB-67,17
JOB-67,21
JOB-67,5
JOB-67,14
JOB-67,26
JOB-68,16
JOB-68,9
JOB-68,3
JOB-69,18
JOB-69,9
JOB-69,20
JOB-70,1
JOB-70,17
JOB-70,23
JOB-70,13
JOB-70,10
JOB-70,20
JOB-71,26
JOB-71,18
JOB-71,7
JOB-72,25
JOB-72,13
JOB-72,6
JOB-72,23
JOB-72,12
JOB-72,20
JOB-73,21
JOB-73,3
JOB-73,22
JOB-73,13
JOB-73,1
JOB-73,8
JOB-74,20
JOB-74,1
JOB-74,22
JOB-75,1
JOB-75,25
JOB-75,9
JOB-76,12
JOB-76,7
JOB-76,10
JOB-76,18
JOB-77,9
JOB-77,23
JOB-77,8
JOB-78,3
JOB-78,2
JOB-78,17
JOB-79,21
JOB-79,15
JOB-79,23
JOB-80,11
JOB-80,5
JOB-80,15
JOB-80,7
JOB-81,6
JOB-81,13
JOB-81,17
JOB-81,22
JOB-81,21
JOB-81,5
JOB-82,21
JOB-82,10
JOB-82,2
JOB-83,19
JOB-83,24
JOB-83,16
JOB-84,12
JOB-84,4
JOB-84,11
JOB-84,23
JOB-84,9
JOB-85,6
JOB-85,9
JOB-85,24
JOB-85,14
JOB-86,9
JOB-86,22
JOB-86,14
JOB-86,25
JOB-86,1
JOB-86,6
JOB-87,7
JOB-87,1
JOB-87,22
JOB-87,26
JOB-87,5
JOB-87,23
JOB-88,15
JOB-88,13
JOB-88,26
JOB-88,14
JOB-88,23
JOB-89,16
JOB-89,8
JOB-89,24
JOB-89,14
JOB-90,7
JOB-90,26
JOB-90,4
JOB-90,8
JOB-90,6
JOB-91,9
JOB-91,21
JOB-91,2
JOB-92,12
JOB-92,14
JOB-92,2
JOB-92,19
JOB-92,25
JOB-93,9
JOB-93,3
JOB-93,25
JOB-94,10
JOB-94,15
JOB-94,13
JOB-95,22
JOB-95,3
JOB-95,2
JOB-95,9
JOB-95,25
JOB-95,1
JOB-96,13
JOB-96,18
JOB-96,22
JOB-97,24
JOB-97,14
JOB-97,19
JOB-97,12
JOB-97,22
JOB-97,2
JOB-98,17
JOB-98,23
JOB-98,4
JOB-99,18
JOB-99,25
JOB-99,12
JOB-100,10
JOB-100,19
JOB-100,14
JOB-100,16
JOB-100,11
JOB-100,18
JOB-101,12
JOB-101,20
JOB-101,17
JOB-102,2
JOB-102,9
JOB-102,17
JOB-102,23
JOB-102,3
JOB-102,14
JOB-103,8
JOB-103,14
JOB-103,22
JOB-104,11
JOB-104,19
JOB-104,2
JOB-104,9
JOB-105,24
JOB-105,19
JOB-105,4
JOB-105,8
JOB-106,11
JOB-106,16
JOB-106,7
