job_id,job_title,company_id,country_id,platform_id,experience_level,employment_type,salary_min_usd,salary_max_usd,remote_option,applicants_estimate,average_salary_usd
JOB-1,Senior Data Engineer,12,12,1006,Lead,Part-time,163731,171017,Hybrid,472,167374
JOB-2,Data Engineer,17,2,1003,Mid,Contract,145213,153462,Hybrid,500,149338
JOB-3,Business Intelligence Analyst,8,8,1005,Entry,Contract,87206,121991,Onsite,34,104599
JOB-4,Data Scientist,13,8,1003,Lead,Full-time,104392,130952,Remote,26,117672
JOB-5,AI Engineer,12,3,1001,Mid,Part-time,162767,186131,Hybrid,303,174449
JOB-6,Data Scientist,6,12,1003,Lead,Full-time,143250,153069,Remote,176,148160
JOB-7,Senior Data Engineer,9,11,1006,Lead,Part-time,108091,141413,Onsite,11,124752
JOB-8,Senior Data Analyst,19,11,1003,Entry,Full-time,73666,90902,Hybrid,359,82284
JOB-9,Senior Data Engineer,12,9,1004,Senior,Part-time,159140,184664,Remote,25,171902
JOB-10,Senior Data Engineer,13,4,1001,Entry,Contract,143722,169624,Remote,596,156673
JOB-11,Senior Data Analyst,20,12,1006,Entry,Full-time,55300,85444,Remote,67,70372
JOB-12,Data Scientist,5,10,1006,Lead,Part-time,105013,124363,Onsite,250,114688
JOB-13,Senior Data Scientist,10,13,1002,Lead,Contract,86501,98948,Hybrid,517,92725
JOB-14,Senior Data Analyst,15,9,1005,Mid,Contract,80538,96068,Remote,182,88303
JOB-15,Analytics Engineer,17,9,1002,Senior,Part-time,171362,196934,Hybrid,227,184148
JOB-16,AI Engineer,9,11,1006,Senior,Part-time,133902,154649,Onsite,319,144276
JOB-17,Senior Data Scientist,3,9,1003,Entry,Full-time,136028,156363,Remote,166,146196
JOB-18,Business Intelligence Analyst,3,7,1001,Senior,Full-time,83096,106445,Remote,326,94771
JOB-19,Analytics Engineer,18,1,1003,Mid,Contract,112153,121238,Hybrid,509,116696
JOB-20,Business Intelligence Analyst,16,1,1004,Lead,Contract,64480,95154,Onsite,101,79817
JOB-21,Data Analyst,8,6,1004,Entry,Full-time,62735,92419,Hybrid,33,77577
JOB-22,Senior Data Scientist,6,2,1001,Senior,Full-time,143688,178044,Onsite,121,160866
JOB-23,Senior Data Engineer,5,11,1006,Mid,Contract,96519,105521,Onsite,130,101020
JOB-24,Senior Data Scientist,5,1,1001,Lead,Part-time,133650,165592,Hybrid,70,149621
JOB-25,Analytics Engineer,19,8,1001,Entry,Part-time,149255,162911,Onsite,58,156083
JOB-26,Analytics Engineer,16,12,1005,Entry,Full-time,177041,204326,Remote,449,190684
JOB-27,Analytics Engineer,8,12,1001,Entry,Contract,139904,168145,Hybrid,458,154025
JOB-28,Data Scientist,6,2,1003,Mid,Full-time,92203,122653,Remote,294,107428
JOB-29,Data Scientist,17,7,1001,Mid,Part-time,102966,122855,Onsite,541,112911
JOB-30,Data Engineer,8,6,1006,Senior,Full-time,167733,183672,Onsite,318,175703
JOB-31,Senior Data Engineer,8,5,1006,Mid,Full-time,130592,136856,Remote,594,133724
JOB-32,Business Intelligence Analyst,5,9,1001,Lead,Part-time,51419,85334,Onsite,431,68377
JOB-33,Machine Learning Engineer,5,4,1005,Senior,Full-time,152315,167380,Remote,16,159848
JOB-34,Senior Data Engineer,6,1,1002,Mid,Full-time,160422,190667,Hybrid,307,175545
JOB-35,Machine Learning Engineer,8,4,1005,Entry,Contract,115522,140099,Remote,31,127811
JOB-36,AI Engineer,3,3,1004,Mid,Contract,113225,129529,Hybrid,375,121377
JOB-37,Data Analyst,1,8,1005,Entry,Full-time,75686,103529,Onsite,448,89608
JOB-38,Data Scientist,20,1,1001,Mid,Full-time,132520,143962,Remote,297,138241
JOB-39,Machine Learning Engineer,5,5,1001,Mid,Full-time,107580,140029,Onsite,163,123805
JOB-40,Data Engineer,20,10,1003,Entry,Part-time,147775,160220,Hybrid,86,153998
JOB-41,Analytics Engineer,1,4,1003,Lead,Contract,146981,153408,Hybrid,530,150195
JOB-42,Senior Data Analyst,18,4,1005,Lead,Full-time,45920,64852,Remote,211,55386
JOB-43,Analytics Engineer,13,3,1004,Senior,Contract,178421,194044,Remote,241,186233
JOB-44,Analytics Engineer,12,8,1005,Mid,Contract,103605,126024,Onsite,173,114815
JOB-45,Data Engineer,14,8,1003,Entry,Part-time,128806,150515,Hybrid,428,139661
JOB-46,Machine Learning Engineer,7,3,1004,Entry,Contract,106388,111879,Hybrid,216,109134
JOB-47,AI Engineer,19,1,1005,Senior,Part-time,151182,169328,Remote,484,160255
JOB-48,AI Engineer,4,11,1002,Senior,Full-time,162124,173353,Remote,524,167739
JOB-49,Senior Data Analyst,19,10,1004,Lead,Full-time,46355,51753,Hybrid,153,49054
